"Unemployment rate, Australia, August 1966 to January 2024, Seasonally adjusted"
,"Persons (%)","Males (%)","Females (%)"
"Aug-66","1.8","1.2","3.1"
"Sep-66","1.8","1.2","3.1"
"Oct-66","1.7","1.1","3.1"
"Nov-66","1.7","1.1","3.1"
"Dec-66","1.7","1.1","3.1"
"Jan-67","1.8","1.3","3.0"
"Feb-67","1.8","1.3","3.0"
"Mar-67","1.8","1.3","3.0"
"Apr-67","2.0","1.3","3.3"
"May-67","2.0","1.3","3.3"
"Jun-67","2.0","1.3","3.3"
"Jul-67","1.9","1.3","3.2"
"Aug-67","1.9","1.3","3.2"
"Sep-67","1.9","1.3","3.2"
"Oct-67","1.8","1.2","3.3"
"Nov-67","1.8","1.2","3.3"
"Dec-67","1.8","1.2","3.3"
"Jan-68","1.9","1.2","3.2"
"Feb-68","1.9","1.2","3.2"
"Mar-68","1.9","1.2","3.2"
"Apr-68","1.9","1.2","3.3"
"May-68","1.9","1.2","3.3"
"Jun-68","1.9","1.2","3.3"
"Jul-68","1.8","1.2","3.3"
"Aug-68","1.8","1.2","3.3"
"Sep-68","1.8","1.2","3.3"
"Oct-68","1.7","1.1","3.1"
"Nov-68","1.7","1.1","3.1"
"Dec-68","1.7","1.1","3.1"
"Jan-69","1.8","1.2","3.2"
"Feb-69","1.8","1.2","3.2"
"Mar-69","1.8","1.2","3.2"
"Apr-69","1.8","1.1","3.2"
"May-69","1.8","1.1","3.2"
"Jun-69","1.8","1.1","3.2"
"Jul-69","1.7","1.1","3.1"
"Aug-69","1.7","1.1","3.1"
"Sep-69","1.7","1.1","3.1"
"Oct-69","1.9","1.2","3.4"
"Nov-69","1.9","1.2","3.4"
"Dec-69","1.9","1.2","3.4"
"Jan-70","1.6","1.0","2.9"
"Feb-70","1.6","1.0","2.9"
"Mar-70","1.6","1.0","2.9"
"Apr-70","1.7","1.0","3.0"
"May-70","1.7","1.0","3.0"
"Jun-70","1.7","1.0","3.0"
"Jul-70","1.7","1.1","2.7"
"Aug-70","1.7","1.1","2.7"
"Sep-70","1.7","1.1","2.7"
"Oct-70","1.6","1.1","2.7"
"Nov-70","1.6","1.1","2.7"
"Dec-70","1.6","1.1","2.7"
"Jan-71","1.7","1.1","3.0"
"Feb-71","1.7","1.1","3.0"
"Mar-71","1.7","1.1","3.0"
"Apr-71","1.9","1.4","3.0"
"May-71","1.9","1.4","3.0"
"Jun-71","1.9","1.4","3.0"
"Jul-71","1.9","1.3","3.1"
"Aug-71","1.9","1.3","3.1"
"Sep-71","1.9","1.3","3.1"
"Oct-71","2.2","1.6","3.2"
"Nov-71","2.2","1.6","3.2"
"Dec-71","2.2","1.6","3.2"
"Jan-72","2.4","1.9","3.5"
"Feb-72","2.4","1.9","3.5"
"Mar-72","2.4","1.9","3.5"
"Apr-72","2.4","1.7","3.7"
"May-72","2.4","1.7","3.7"
"Jun-72","2.4","1.7","3.7"
"Jul-72","2.9","2.2","4.3"
"Aug-72","2.9","2.2","4.3"
"Sep-72","2.9","2.2","4.3"
"Oct-72","2.8","1.9","4.4"
"Nov-72","2.8","1.9","4.4"
"Dec-72","2.8","1.9","4.4"
"Jan-73","2.6","1.8","4.1"
"Feb-73","2.6","1.8","4.1"
"Mar-73","2.6","1.8","4.1"
"Apr-73","2.3","1.7","3.6"
"May-73","2.3","1.7","3.6"
"Jun-73","2.3","1.7","3.6"
"Jul-73","2.1","1.6","3.2"
"Aug-73","2.1","1.6","3.2"
"Sep-73","2.1","1.6","3.2"
"Oct-73","2.1","1.5","3.3"
"Nov-73","2.1","1.5","3.3"
"Dec-73","2.1","1.5","3.3"
"Jan-74","2.1","1.5","3.4"
"Feb-74","2.1","1.5","3.4"
"Mar-74","2.1","1.5","3.4"
"Apr-74","2.1","1.4","3.6"
"May-74","2.1","1.4","3.6"
"Jun-74","2.1","1.4","3.6"
"Jul-74","2.7","2.0","4.2"
"Aug-74","2.7","2.0","4.2"
"Sep-74","2.7","2.0","4.2"
"Oct-74","4.0","3.0","5.9"
"Nov-74","4.0","3.0","5.9"
"Dec-74","4.0","3.0","5.9"
"Jan-75","4.8","3.8","6.8"
"Feb-75","4.8","3.8","6.8"
"Mar-75","4.8","3.8","6.8"
"Apr-75","4.8","3.7","6.8"
"May-75","4.8","3.7","6.8"
"Jun-75","4.8","3.7","6.8"
"Jul-75","4.7","3.5","6.7"
"Aug-75","4.7","3.5","6.7"
"Sep-75","4.7","3.5","6.7"
"Oct-75","5.4","4.0","7.8"
"Nov-75","5.4","4.0","7.8"
"Dec-75","5.4","4.0","7.8"
"Jan-76","4.9","3.9","6.6"
"Feb-76","4.9","3.9","6.6"
"Mar-76","4.9","3.9","6.6"
"Apr-76","4.5","3.6","6.1"
"May-76","4.5","3.6","6.1"
"Jun-76","4.5","3.6","6.1"
"Jul-76","4.8","4.0","6.5"
"Aug-76","4.8","4.0","6.5"
"Sep-76","4.8","4.0","6.5"
"Oct-76","4.9","4.1","6.3"
"Nov-76","4.9","4.1","6.3"
"Dec-76","4.9","4.1","6.3"
"Jan-77","5.2","4.2","7.1"
"Feb-77","5.2","4.2","7.1"
"Mar-77","5.2","4.2","7.1"
"Apr-77","5.6","4.6","7.4"
"May-77","5.6","4.6","7.4"
"Jun-77","5.6","4.6","7.4"
"Jul-77","5.8","4.7","7.7"
"Aug-77","5.8","4.7","7.7"
"Sep-77","5.8","4.7","7.7"
"Oct-77","5.9","4.8","7.8"
"Nov-77","5.9","4.8","7.8"
"Dec-77","5.9","4.8","7.8"
"Jan-78","6.6","5.6","8.5"
"Feb-78","6.6","5.6","8.5"
"Mar-78","6.3","5.3","8.1"
"Apr-78","6.3","5.4","7.9"
"May-78","6.2","5.2","7.9"
"Jun-78","6.3","5.5","7.7"
"Jul-78","6.2","5.4","7.7"
"Aug-78","6.5","5.6","8.0"
"Sep-78","6.3","5.5","7.6"
"Oct-78","6.2","5.4","7.5"
"Nov-78","6.3","5.5","7.8"
"Dec-78","6.4","5.5","8.1"
"Jan-79","6.4","5.4","8.0"
"Feb-79","6.3","5.3","7.9"
"Mar-79","6.3","5.4","7.9"
"Apr-79","6.5","5.5","8.2"
"May-79","6.2","5.2","7.9"
